"tap_sec","group_member","condition","group_number","trial"
"9.914921",2,"simultaneous",1,2
"9.962811",3,"simultaneous",1,2
"10.519002",1,"simultaneous",1,2
"10.607891",2,"simultaneous",1,2
"10.633651",3,"simultaneous",1,2
"11.193832",1,"simultaneous",1,2
"11.295782",2,"simultaneous",1,2
"11.311021",3,"simultaneous",1,2
"11.878096",1,"simultaneous",1,2
"11.946304",2,"simultaneous",1,2
"12.021043",3,"simultaneous",1,2
"12.503220",1,"simultaneous",1,2
"12.628390",2,"simultaneous",1,2
"12.691156",3,"simultaneous",1,2
"13.167166",1,"simultaneous",1,2
"13.303583",2,"simultaneous",1,2
"13.364535",3,"simultaneous",1,2
"13.836190",1,"simultaneous",1,2
"13.932698",2,"simultaneous",1,2
"14.036099",3,"simultaneous",1,2
"14.545487",1,"simultaneous",1,2
"14.638004",2,"simultaneous",1,2
"14.662676",3,"simultaneous",1,2
"15.212336",1,"simultaneous",1,2
"15.305216",2,"simultaneous",1,2
"15.322630",3,"simultaneous",1,2
"15.881361",1,"simultaneous",1,2
"15.951746",2,"simultaneous",1,2
"15.989841",3,"simultaneous",1,2
"16.509026",1,"simultaneous",1,2
"16.649796",3,"simultaneous",1,2
"16.691881",2,"simultaneous",1,2
"17.185307",1,"simultaneous",1,2
"17.337324",2,"simultaneous",1,2
"17.389568",3,"simultaneous",1,2
"17.928707",1,"simultaneous",1,2
"18.010702",2,"simultaneous",1,2
"18.139139",3,"simultaneous",1,2
"18.607166",1,"simultaneous",1,2
"18.694603",2,"simultaneous",1,2
"18.852789",3,"simultaneous",1,2
"2.667392",1,"loner_subgroup",2,1
"3.228662",3,"loner_subgroup",2,1
"3.350930",2,"loner_subgroup",2,1
"4.022131",1,"loner_subgroup",2,1
"4.623673",3,"loner_subgroup",2,1
"4.648707",2,"loner_subgroup",2,1
"5.322812",1,"loner_subgroup",2,1
"5.895691",3,"loner_subgroup",2,1
"5.914921",2,"loner_subgroup",2,1
"6.755919",1,"loner_subgroup",2,1
"7.221769",3,"loner_subgroup",2,1
"7.300136",2,"loner_subgroup",2,1
"7.894422",1,"loner_subgroup",2,1
"8.400907",3,"loner_subgroup",2,1
"8.424127",2,"loner_subgroup",2,1
"8.966167",1,"loner_subgroup",2,1
"9.479909",3,"loner_subgroup",2,1
"9.503855",2,"loner_subgroup",2,1
"10.087256",1,"loner_subgroup",2,1
"10.564716",3,"loner_subgroup",2,1
"10.620953",2,"loner_subgroup",2,1
"11.244626",1,"loner_subgroup",2,1
"11.742041",2,"loner_subgroup",2,1
"11.751474",3,"loner_subgroup",2,1
"12.339229",1,"loner_subgroup",2,1
"12.800726",3,"loner_subgroup",2,1
